AY,Term,Dept,CourseID,Course,Instructor,A,A-,B,B-,B+,C,C-,C+,D,I,P,Grand Total
,,,MAT442,Multi-Variable Calculus,1968,,,,,,,,,,,43,43
,,,MAT445,Theory of Analysis,1969,,,,,,,,,,,12,12
,,,MAT452,Differential Equations,1970,,,,,,,,,,,46,46
,,,MAT802,Advanced Topics in Mathematics,1971,,,,,,,,,,,12,12
,,Science,SCI105,Scientific Inquiries - Chemistry,1972,,,,,,,,,,2,36,38
,,,,,1973,,,,,,,,,,,35,35
,,,,,1974,,,,,,,,,,1,17,18
,,,SCI115,Scientific Inquiries - Physics,1975,,,,,,,,,,,38,38
,,,,,1976,,,,,,,,,,,50,50
,,,SCI125,Scientific Inquiries - Biology,1977,,,,,,,,,,,30,30
,,,,,1978,,,,,,,,,,,21,21
,,,,,1979,,,,,,,,,,,14,14
,,,SCI135,Methods in Scientific Inquiry,1980,,,,,,,,,,,16,16
,,,,,1981,,,,,,,,,,3,18,21
,,,,,1982,,,,,,,,,,,17,17
,,,,,1983,,,,,,,,,,,19,19
,,,,,1984,,,,,,,,,,,40,40
,,,SCI202,Advanced Chemistry--Chemical Reactions,1985,,,,,,,,,,,38,38
,,,,,1986,,,,,,,,,,,30,30
,,,,,1987,,,,,,,,,,1,14,15
,,,SCI222,Organic Chemistry II,1988,,,,,,,,,,,17,17
,,,,,1989,,,,,,,,,,,18,18
,,,,,1990,,,,,,,,,,,14,14
,,,SCI235,Biochemistry,1991,,,,,,,,,,,18,18
,,,SCI245,Environmental Chemistry,1992,,,,,,,,,,,40,40
,,,SCI255,Medicinal Chemistry,1993,,,,,,,,,,3,31,34
,,,SCI402,Physics: Sound and Light,1994,,,,,,,,,,,39,39
,,,SCI412,Physics: Calculus-based Elec & Magnetism,1995,,,,,,,,,,,13,13
,,,,,1996,,,,,,,,,,,37,37
,,,SCI425,Planetary Science,1997,,,,,,,,,,,20,20
,,,SCI445,Modern Physics,1998,,,,,,,,,,,18,18
,,,SCI455,Engineering,1999,,,,,,,,,,,35,35
,,,SCI465,Biophysics,2000,,,,,,,,,,,32,32
,,,SCI505,Computational Science,2001,,,,,,,,,,,32,32
,,,SCI600,Advanced Biological Systems,2002,,,,,,,,,,,20,20
,,,,,2003,,,,,,,,,,,11,11
,,,,,2004,,,,,,,,,,,18,18
,,,,,2005,,,,,,,,,,1,31,32
,,,,,2006,,,,,,,,,,1,18,19
,,,SCI616,Cancer Biology,2007,,,,,,,,,,,18,18
,,,SCI625,Microbes and Disease,2008,,,,,,,,,,,17,17
,,,SCI636,Pathophysiology,2009,,,,,,,,,,,15,15
,,,SCI645,Biology of Behavior,2010,,,,,,,,,,1,19,20
,,,,,2011,,,,,,,,,,,19,19
,,Wellness,WEL105,Moving and Learning,2012,,,,,,,,,,,52,52
,,,,,2013,,,,,,,,,,1,54,55
,,,WEL205,Net and Wall Games,2014,,,,,,,,,,,33,33
,,,WEL231,Outdoor and Indoor Games,2015,,,,,,,,,,,28,28
,,,WEL312,Dance,2016,,,,,,,,,,,18,18
,,,WEL525,Movement and Relaxation,2017,,,,,,,,,,,25,25
,,WldLang,WLG110,French I,2018,,,,,,,,,,,36,36
,,,WLG120,French II,2019,,,,,,,,,,,42,42
,,,WLG130,French III,2020,,,,,,,,,,,44,44
,,,WLG140,French IV,2021,,,,,,,,,,,14,14
,,,WLG220,Spanish II,2022,,,,,,,,,,,18,18
,,,WLG230,Spanish III,2023,,,,,,,,,,,53,53
,,,WLG240,Spanish IV,2024,,,,,,,,,,,54,54
,,,WLG250,Spanish V,2025,,,,,,,,,,,24,24
,,,WLG310,German I,2026,,,,,,,,,,,23,23
,,,WLG320,German II,2027,,,,,,,,,,,29,29
,,,WLG330,German III,2028,,,,,,,,,,,22,22
,,,WLG510,Russian I,2029,,,,,,,,,,,21,21
,,,WLG520,Russian II,2030,,,,,,,,,,,28,28
,,,WLG530,Russian III,2031,,,,,,,,,,,23,23
,,,WLG610,Mandarin Chinese I,2032,,,,,,,,,,,50,50
,,,WLG620,Mandarin Chinese II,2033,,,,,,,,,,,20,20
,,,,,2034,,,,,,,,,,,44,44
,,,WLG630,Mandarin Chinese III,2035,,,,,,,,,,,40,40
